,Path,Submitted
1,1/293_2/387.gjf,False
2,1/293_2/397.gjf,False
3,1/293_2/407.gjf,False
4,1/293_2/417.gjf,False
5,1/293_2/427.gjf,False
6,1/293_2/437.gjf,False
7,1/293_2/447.gjf,False
8,1/293_3/480.gjf,False
9,1/293_3/490.gjf,False
10,1/293_3/500.gjf,False
11,1/293_3/510.gjf,False
12,1/293_3/520.gjf,False
13,1/293_3/530.gjf,False
14,1/293_3/540.gjf,False
15,1/294_2/1277.gjf,False
16,1/294_2/1287.gjf,False
17,1/294_2/1297.gjf,False
18,1/294_2/1307.gjf,False
19,1/294_2/1317.gjf,False
20,1/294_2/1327.gjf,False
21,1/294_2/1337.gjf,False
22,1/295_1/244.gjf,False
23,1/295_1/254.gjf,False
24,1/295_1/264.gjf,False
25,1/295_1/274.gjf,False
26,1/295_1/284.gjf,False
27,1/295_1/294.gjf,False
28,1/295_1/304.gjf,False
29,1/295_3/399.gjf,False
30,1/295_3/409.gjf,False
31,1/295_3/419.gjf,False
32,1/295_3/429.gjf,False
33,1/295_3/439.gjf,False
34,1/295_3/449.gjf,False
35,1/295_3/459.gjf,False
36,1/295_7/1416.gjf,False
37,1/295_7/1426.gjf,False
38,1/295_7/1436.gjf,False
39,1/295_7/1446.gjf,False
40,1/295_7/1456.gjf,False
41,1/295_7/1466.gjf,False
42,1/295_7/1476.gjf,False
43,1/296_10/1789.gjf,False
44,1/296_10/1799.gjf,False
45,1/296_10/1809.gjf,False
46,1/296_10/1819.gjf,False
47,1/296_10/1829.gjf,False
48,1/296_10/1839.gjf,False
49,1/296_10/1849.gjf,False
50,1/296_4/602.gjf,False
51,1/296_4/612.gjf,False
52,1/296_4/622.gjf,False
53,1/296_4/632.gjf,False
54,1/296_4/642.gjf,False
55,1/296_4/652.gjf,False
56,1/296_4/662.gjf,False
57,1/297_2/1521.gjf,False
58,1/297_2/1531.gjf,False
59,1/297_2/1541.gjf,False
60,1/297_2/1551.gjf,False
61,1/297_2/1561.gjf,False
62,1/297_2/1571.gjf,False
63,1/297_2/1581.gjf,False
64,1/297_3/1594.gjf,False
65,1/297_3/1604.gjf,False
66,1/297_3/1614.gjf,False
67,1/297_3/1624.gjf,False
68,1/297_3/1634.gjf,False
69,1/297_3/1644.gjf,False
70,1/297_3/1654.gjf,False
